Timecode List:,00:00:05.923,00:02:09.004,00:02:28.607,00:02:29.816,00:02:31.026,00:02:32.235,00:03:59.448,00:04:26.183,00:04:36.151
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,142,00:00:05.923,5.923,142,00:00:05.923,5.923
2,143,00:00:05.923,5.923,3093,00:02:09.004,129.004,2951,00:02:03.081,123.081
3,3094,00:02:09.004,129.004,3563,00:02:28.607,148.607,470,00:00:19.603,19.603
4,3564,00:02:28.607,148.607,3592,00:02:29.816,149.816,29,00:00:01.210,1.210
5,3593,00:02:29.816,149.816,3621,00:02:31.026,151.026,29,00:00:01.210,1.210
6,3622,00:02:31.026,151.026,3650,00:02:32.235,152.235,29,00:00:01.210,1.210
7,3651,00:02:32.235,152.235,5741,00:03:59.448,239.448,2091,00:01:27.212,87.212
8,5742,00:03:59.448,239.448,6382,00:04:26.183,266.183,641,00:00:26.735,26.735
9,6383,00:04:26.183,266.183,6621,00:04:36.151,276.151,239,00:00:09.968,9.968
10,6622,00:04:36.151,276.151,6623,00:04:36.234,276.234,2,00:00:00.083,0.083
